S,T,B,Ln_x,Ln_y,H_x,H_y,B_x,B_y,rbt_x,rbb_x,rbt_y,rbb_y,fy_B,fc,F0.01,F0.02,F0.03,F0.04,F0.05,F0.06,F0.07,F0.08,F0.09,F0.10,F0.11,F0.12,F0.13,F0.14,F0.15
0,0,2,2.175,2.175,180,180,100,100,0.87,0.87,0.87,0.87,575,32,10.77916367,17.15261776,20.20937896,21.14095507,21.02347428,20.54913911,19.91769797,19.22551734,18.55241081,17.9153061,17.35412569,16.88135571,16.47694834,16.14130866,15.89244538
2,0,1,1.225,1.225,300,300,150,150,0.83,0.55,0.83,0.55,350,26.149,126.9991836,196.0439428,240.9171869,272.057884,294.5938725,310.5519853,321.1715508,327.2407819,329.5014238,324.4044575,313.6372307,302.7041831,291.9402113,281.5893762,271.5975928
2,0,3,2.9,2.9,320,320,150,150,0.720177965,0.720177965,0.720177965,0.720177965,444.3,24.2,88.32943262,106.5465074,111.3843109,112.9413007,112.7663325,111.8798273,110.652859,109.3236184,108.0570537,106.9209723,105.9715638,105.2767721,104.7732072,104.4584294,104.2733183
0,1,1,1.3,2.6,150,200,100,100,1.206371579,0.804247719,0.861693985,0.574462657,420.4,27.729,2.313426753,6.234672274,10.86142711,14.79626071,17.99603954,20.56568437,22.5418664,23.94261206,24.95240608,25.7210583,26.37177616,26.89531869,27.28604765,27.5924418,27.83236094
1,0,2,1.3,1.9,140,180,80,100,1.570796327,1.570796327,0.951997774,0.951997774,437,21.4,18.32694804,26.31322956,31.16980639,33.955703,35.73338849,36.92062297,37.77492521,38.45366058,39.02621158,39.54067471,39.81855041,39.9614835,39.97770472,39.87009309,39.60227743
2,1,1,2.467,2.467,200,200,100,100,1.307483648,1.307483648,1.307483648,1.307483648,416,19.75,65.91251938,82.76311764,93.56771073,99.23361924,104.3384953,108.8316494,113.6264072,118.5788725,123.4574922,128.5898416,133.7187359,137.816534,139.2543363,140.2507724,142.0443022
2,0,2,2.22,2.22,180,180,100,100,2.02,1.33,2.02,1.33,400,32,21.49438438,32.7582623,37.75365654,40.08983287,41.26230515,42.24522427,42.57400132,42.5863139,42.47781975,42.51870072,42.79673178,43.29985591,44.06240381,45.11127004,46.48132163
1,0,3,1.3,2.6,150,200,100,100,1.206371579,0.804247719,0.861693985,0.574462657,420.4,27.729,9.53814267,18.21843697,23.71499554,26.63499063,27.76944683,28.03102755,27.85364787,27.53080554,27.15290895,26.75307705,26.40415491,26.12283456,25.92691374,25.87886857,25.99314828
1,1,3,0.96,0.96,180,180,80,80,1.234902773,1.234902773,1.234902773,1.234902773,433.6,42.3,38.13438366,61.00305141,75.89868982,86.58384999,94.28756187,99.79922254,103.8492773,106.5580357,108.2075294,109.144766,109.0181772,108.2300252,107.4133316,106.600596,105.8493184
2,0,2,2.75,2.75,250,250,150,150,1.24,1.31,1.24,1.31,488,29.69,41.84451491,70.76343876,87.59368984,96.72230135,101.7202981,104.1933108,105.4703207,103.978043,101.7107306,98.60033237,97.33431545,97.85985052,99.93028005,103.3660153,107.3535048
1,1,2,1.8,1.8,150,150,90,90,0.839857685,0.839857685,1.259786528,0.839857685,488,29.3643,24.32980886,34.0635828,39.53753701,42.83200634,44.67238315,45.66466339,46.03374419,46.28800471,46.17135275,45.71452317,45.3099515,45.08637162,45.10726922,45.38264818,45.84129401
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,550,35,237.6541225,351.6365758,400.5738129,424.2988639,437.2314739,444.805534,449.2184766,451.7560892,452.7930431,453.0672662,452.7361284,452.1920534,451.7302034,451.3890212,451.1463932
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,350,40,224.7562039,290.1347955,315.5211431,327.0502629,333.1469569,336.8152313,339.1061959,340.7211105,341.8131289,342.5172474,342.8698837,342.8670239,339.8588239,335.2407371,331.1319596
0,1,1,1.8,1.8,180,180,90,90,1.027923977,0.685282651,1.027923977,0.685282651,481,29.3643,9.117790182,12.71548636,15.34161874,17.39080923,18.623647,19.42630013,19.44518795,19.09917988,18.6536634,17.98074459,17.29456933,16.68897664,16.12557672,15.68632758,15.31017954
1,1,3,1.6,1.6,200,200,100,100,0.85195733,1.220166188,0.85195733,1.220166188,465,27,30.10969426,42.58946075,49.15882154,53.22259344,56.03058688,58.01204418,59.40760371,60.56966106,61.50067613,62.29045648,62.76595351,62.98010352,62.94298847,62.67339903,62.23404902
2,0,3,2,2,180,180,200,200,0.841498032,0.560998688,0.841498032,0.560998688,537,52.4,26.07302993,38.80489209,46.65601463,51.79557751,55.13755155,57.13390661,58.17189413,58.61699221,58.68412589,58.57571511,58.33416379,57.97278505,57.2254794,56.58686136,56.01537668
2,0,3,7.47,7.47,508,508,457,457,1.199066086,0.382436893,1.199066086,0.382436893,416.7,34.5,123.8419374,205.4265556,241.125085,260.4169783,271.2524578,275.4248451,276.5753749,277.1920696,278.5914491,279.8656428,281.3993237,283.8226614,287.6103912,292.954476,299.9665804
2,0,3,1.85,1.85,300,300,150,150,0.5,0.7,0.5,0.7,445,25.28,53.93558943,66.20153097,70.79147588,72.51771294,73.31545072,73.72638148,73.92084864,74.23189608,74.7284403,75.48558664,76.48935625,77.91197563,79.99807755,82.73782377,86.05865828
1,1,1,1.6,1.6,200,200,100,100,0.85195733,0.567971553,0.85195733,0.567971553,465,27,36.09,50.26,58.27,63.33,66.75,69.19,70.98,72.42,73.64,74.53,74.73,74.36,73.34,71.87,70.20000716
2,0,2,2.467,2.467,270,270,100,100,0.85,0.85,0.85,0.85,416,19.75,44.47869534,58.88076022,63.61269529,66.2197729,67.88626783,69.17060815,70.10891752,70.77582491,71.31059779,71.73495762,72.14932846,72.43323474,72.6109439,72.02087693,69.86302062
2,0,2,2.75,2.75,250,250,150,150,1.34948138,0.478172398,1.34948138,0.478172398,510,21.725,22.77558146,36.11807173,45.83965747,51.87538312,50.58849392,48.69966954,47.87935874,47.01144044,46.53923983,46.64063835,47.0934401,47.72696968,49.9410486,52.51013278,54.46981287
2,0,2,3.6,3.6,300,300,200,200,0.883572934,1.503,0.883572934,1.503,460,27.8,26.68188062,46.33630329,60.49861352,70.49785852,77.14769641,81.69241602,84.87633796,87.30475219,89.31394063,91.20692156,92.99918399,94.85224207,96.76223292,98.73245618,99.35031984
2,0,1,5.4,5.4,600,600,300,300,0.7,0.47,0.7,0.47,569,28,309.8652755,484.935403,546.9725101,569.0432417,573.3075965,569.111867,560.404756,549.6845688,538.5796986,527.7727741,517.7235857,508.861399,501.7533406,496.6595289,493.9861953
2,0,2,2.2,2.2,200,200,100,100,1.307483648,1.307483648,1.307483648,1.307483648,416,19.75,27.01705106,41.69265931,47.53505115,50.51543534,52.43480952,53.83568772,54.89100851,55.69581545,56.35424129,56.92225633,57.36565394,57.81622971,58.26852035,58.76128986,59.26465171
2,0,1,5.4,5.4,600,600,300,300,1.14,0.6,1.14,0.6,456,28,394.9488192,575.2495712,638.49398,661.9665146,666.2802689,662.5932513,655.1710902,646.1777748,636.9089713,627.2253002,617.91497,609.5564972,602.8780709,598.8609844,597.7354772
2,0,2,2,2,250,250,150,150,1.005309649,0.465421134,1.005309649,0.465421134,438,34.049,50.10142776,82.72864903,101.5845373,114.1190626,122.0947677,126.7832549,129.1765504,129.7383412,129.1327833,127.9964629,126.5741602,125.0560466,123.6868397,122.5358297,121.6317092
1,1,3,1.3,2.6,150,200,100,100,1.206371579,0.804247719,0.861693985,0.574462657,420.4,27.729,14.39,26.91,33.86,36.96,38.05,38.02,37.43,36.68,36,35.44,35.05,34.81,34.73,34.79,35.00176171
2,0,2,1.3,1.3,140,140,80,80,1.7,1.7,1.7,1.7,437,31.6,33.63625877,50.27033006,53.870071,55.02581591,56.590536,56.4608032,56.06016037,56.36369143,57.55227765,59.58276179,61.74093318,62.97692064,64.4482835,66.51083328,68.60750895
2,0,3,2.25,2.25,140,140,90,90,0.97,0.73,0.97,0.73,449,33.9,10.43137271,15.83432404,18.05864064,18.61913113,18.63848991,18.50328588,18.3313719,18.17934044,17.95137558,17.87756746,17.86293774,17.93434614,18.04099253,18.18967877,18.35037059
2,0,1,1.225,1.225,200,200,100,100,1.3,1.3,1.3,1.3,350,16.59,47.58183252,78.53933455,94.28109183,102.402161,106.7726798,108.9025376,110.3622407,110.9685012,110.9225323,110.5465468,110.2364171,109.8525507,109.4705076,109.27847,109.3998675
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,600,30,240.1419001,355.2938032,407.9299703,433.3256333,446.9524384,454.7614897,458.7973219,460.7362743,461.3606059,461.3856403,461.058509,460.5318178,457.8423201,451.6847515,446.1887102
2,0,3,1.85,1.85,300,300,150,150,0.5,0.7,0.5,0.7,372,25.28,46.90642856,58.7062589,64.00407862,66.46922393,67.6778132,67.90880503,67.92842312,68.03676349,68.4332476,69.01959002,69.7895007,71.06613722,72.88264918,75.41164094,78.66362486
1,1,3,1.8,1.8,200,200,200,200,0.282390351,0.282390351,0.282390351,0.282390351,588,57.3,54.6896936,74.15560815,82.20689452,85.39591786,86.65331861,87.03183003,86.91190161,86.50049927,85.76242432,85.01172161,84.17100165,83.22873977,82.27655358,81.38546994,80.39543567
2,0,2,1.5,1.5,140,140,80,80,1.34,1.34,1.34,1.34,437,23.3,29.09324703,42.59257362,48.17172338,50.31693792,51.01303423,51.25491249,51.37580364,51.42543724,51.44107574,51.48199116,51.69892809,52.128236,52.7701203,53.70059965,54.95672506
2,0,1,2.8,2.8,250,250,125,125,1.151917306,0.872664626,1.151917306,0.872664626,360,25.675,34.97697448,47.33881221,54.49877762,58.43787168,60.51797994,61.53949337,61.70967186,61.60502935,61.32805924,61.0120919,60.93536042,61.20929341,61.86403173,63.34715225,65.52454082
2,0,2,1.3,1.3,140,140,80,80,1.7,1.7,1.7,1.7,437,61,49.4834719,68.18253194,73.24764739,74.17793631,74.51683189,74.17261619,73.17441919,72.3021418,72.23599376,73.27339987,75.22525349,77.90967435,80.74292449,82.84059688,85.10916402
2,0,2,2.75,2.75,250,250,150,150,1.24,0.655,1.24,0.655,511,38.2,24.15767814,49.2437949,67.47536713,76.47325166,79.04211071,75.87595493,72.29053141,70.01057274,68.92553912,68.88217226,69.87529059,71.39397437,73.18069623,74.3585092,75.72321181
1,1,3,1.6,1.6,200,200,100,100,0.558505361,0.558505361,0.558505361,0.558505361,491.6,31.837,26.1702813,36.96871325,42.94442442,47.12708339,49.98834122,52.01528046,53.4487812,54.55337805,55.47972253,56.21896509,56.838576,57.23819953,57.36349948,57.41993342,57.2665196
1,1,3,1.82,1.82,160,160,100,100,1.57,1.05,1.57,1.05,380,27.5,22.77394173,27.4988153,30.56311942,32.33286471,33.62967777,34.65966406,35.48121047,36.1368115,36.62330979,37.03871362,37.39701857,37.70002288,37.89974986,38.11448169,38.25024574
1,1,2,1.8,1.8,150,150,90,90,0.839857685,0.839857685,1.259786528,0.839857685,363.8,29.3643,21.55952032,30.22096976,34.95325281,37.77946762,39.36500076,40.40774182,40.76466339,40.99046437,41.15214063,41.3498535,41.24280695,41.10509668,41.04784493,41.04674855,41.20738945
2,0,2,1.5,1.5,180,180,100,100,1,1,1,1,437,31.6,68.33793644,82.28524179,84.4571503,85.42765913,85.67630273,83.66132799,81.18750065,79.53375601,78.37790704,77.26473059,76.32702161,76.03090272,77.22555952,79.97816299,82.20195541
